HEHOUSUT,HWHHWGT,GESTFIPS,GTMETSTA,HEFAMINC,HRNUMHOU,HRHTYPE,PRTAGE,PEMARITL,PENATVTY,PRINUSYR,PRHRUSL,HUBUS,PEMJOT,PEMJNUM,PEHRFTPT,PEHRACTT,PRAGNA,PRNMCHLD,PECYC,PECERT1,target,PRCITSHP_2,PRCITSHP_3,PRCITSHP_4,PRCITSHP_5,PEHRRSN2_1,PEHRRSN2_2,PEHRRSN2_3,PEHRRSN2_4,PEHRRSN2_5,PEHRRSN2_6,PEHRRSN2_7,PRMJIND1_2,PRMJIND1_3,PRMJIND1_4,PRMJIND1_5,PRMJIND1_6,PRMJIND1_7,PRMJIND1_8,PRMJIND1_9,PRMJIND1_10,PRMJIND1_11,PRMJIND1_12,PRMJIND1_13,PRMJOCC1_2,PRMJOCC1_3,PRMJOCC1_4,PRMJOCC1_5,PRMJOCC1_6,PRMJOCC1_7,PRMJOCC1_8,PRMJOCC1_9,PRMJOCC1_10,PESEX_2,PEEDUCA_40,PEEDUCA_41,PEEDUCA_42,PEEDUCA_43,PEEDUCA_44,PEEDUCA_45,PEEDUCA_46,PTDTRACE_1,PTDTRACE_3,PEHSPNON_2,population,case_delta,party,percent_red,pop_density
1,45942707,1,1,15,5,1,37,1,1,0,4,0,1,2,-1,59,0,3,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,47818535,1,1,12,3,3,28,0,1,0,4,0,2,1,-1,40,0,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,27997738,1,1,16,1,6,53,0,1,0,6,0,2,1,-1,55,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,20634410,1,1,16,2,1,80,1,1,0,6,1,2,1,-1,65,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,25994302,1,1,11,1,7,46,0,1,0,4,0,2,1,-1,40,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,35403756,1,1,15,3,1,44,1,1,0,4,0,2,1,-1,40,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,35825052,1,1,14,3,1,45,1,1,0,4,0,2,1,-1,40,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,26303628,1,1,16,4,7,47,0,1,0,4,0,2,1,-1,36,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,39137761,1,1,14,12,3,19,0,1,0,2,1,2,1,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,25994302,1,1,14,3,1,49,1,1,0,5,0,2,1,-1,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,37034470,1,1,16,4,1,33,1,1,0,1,0,2,1,-1,20,0,2,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,35292888,1,1,15,3,1,40,1,1,0,5,0,2,1,-1,45,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,35825052,1,1,16,4,1,48,1,1,0,4,0,2,1,-1,40,0,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,23360215,1,1,15,2,1,56,1,1,0,4,0,2,1,-1,40,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,36369659,1,1,10,5,1,35,1,1,0,4,0,2,1,-1,40,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,20866443,1,1,12,1,6,65,0,1,0,4,0,2,1,-1,40,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,20866443,1,1,14,1,6,70,0,1,0,4,0,2,1,-1,40,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,25124886,1,1,11,2,4,62,0,1,0,4,0,2,1,-1,40,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,24599071,1,1,13,2,1,75,1,1,0,2,1,1,2,-1,30,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,22929965,1,1,16,2,1,71,1,1,0,4,1,2,1,-1,20,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,26546591,1,1,11,2,3,62,0,0,8,4,0,2,1,-1,50,0,1,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,21295999,1,1,14,2,4,85,0,1,0,4,0,2,1,-1,40,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,24599071,1,1,14,2,1,60,1,1,0,6,0,2,1,-1,30,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,24829422,1,1,13,3,1,60,1,1,0,4,0,1,2,-1,43,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,26303628,1,1,15,2,1,54,1,1,0,4,0,2,1,-1,40,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,36369659,1,1,15,5,1,37,1,1,0,4,0,2,1,-1,40,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,27986899,1,1,16,4,1,48,1,0,19,3,1,2,1,1,45,0,2,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,25994302,1,1,16,4,1,46,1,1,0,6,0,2,1,-1,60,0,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,24708519,1,1,14,2,3,58,0,1,0,4,0,2,1,-1,40,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,36625493,1,0,5,4,4,43,0,1,0,4,0,2,1,-1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
0,43927929,1,0,8,2,1,54,1,1,0,2,0,2,1,-1,25,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,24166346,1,0,14,2,1,51,1,1,0,4,0,2,1,-1,40,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,39373922,1,0,15,3,3,40,0,1,0,4,0,2,1,-1,40,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,25482392,1,0,10,1,6,48,0,1,0,4,0,2,1,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,38768391,1,0,14,4,1,36,1,1,0,4,0,2,1,-1,32,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
0,37061328,1,0,6,4,4,42,0,1,0,4,0,2,1,-1,40,0,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
0,50654099,1,0,15,2,4,21,0,1,0,2,0,2,1,-1,30,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,25686253,1,0,16,1,7,61,0,1,0,4,0,2,1,-1,40,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,40413508,1,0,12,1,6,59,0,1,0,4,0,2,1,-1,40,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,24453920,1,0,13,5,1,55,1,0,5,6,0,2,1,-1,70,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,55852697,1,0,14,2,4,40,0,1,0,4,0,2,1,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,38768391,1,0,13,3,1,30,1,1,0,4,1,1,2,1,50,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,24166346,1,0,15,2,1,43,1,1,0,4,1,2,1,-1,20,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,26891332,1,0,11,2,1,49,1,1,0,3,0,2,1,-1,35,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,23721248,1,0,4,2,1,85,1,1,0,1,1,2,1,-1,-1,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,36625493,1,0,9,3,1,42,1,1,0,4,1,2,1,-1,-1,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,24453920,1,0,15,2,1,51,1,1,0,4,1,2,1,-1,40,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,22176514,1,0,16,2,1,70,1,1,0,1,1,2,1,-1,20,1,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,24166346,1,0,11,2,1,52,1,1,0,4,1,2,1,-1,40,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,31245356,1,1,15,4,1,46,1,1,0,3,-3,2,1,1,60,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,34938259,1,1,16,2,1,37,1,1,0,4,1,2,1,-1,40,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,28754560,1,1,13,1,7,58,0,1,0,4,0,2,1,-1,40,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,21505873,1,1,13,1,6,72,0,1,0,2,0,2,1,-1,30,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
0,40791399,1,1,7,2,1,57,1,1,0,4,0,2,1,-1,40,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,25338056,1,1,14,2,1,60,1,1,0,4,1,2,1,-1,70,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,23899866,1,1,15,6,1,74,1,1,0,1,1,2,1,-1,14,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,34415086,1,1,16,4,1,47,1,1,0,4,0,1,3,-1,65,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,35354016,1,1,13,4,1,36,1,1,0,4,1,2,1,-1,-1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,23852210,1,1,11,2,1,61,1,1,0,3,0,2,1,1,25,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,24061983,1,1,16,2,1,53,1,1,0,4,0,2,1,-1,40,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,23736066,1,1,12,1,6,58,0,1,0,3,0,2,1,1,57,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,24079620,1,1,16,2,1,66,1,1,0,4,0,2,1,-1,20,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,25268396,1,1,15,3,1,52,1,1,0,4,0,2,1,-1,40,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,48854227,1,1,16,3,4,30,0,1,0,4,1,2,1,-1,40,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,38600970,1,1,15,3,1,38,1,1,0,4,1,2,1,-1,40,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,13886840,2,1,15,3,3,30,0,1,0,4,0,2,1,-1,40,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,731545.0,1907.343010752688,1.0,61.41638548735641,1.0
1,7055292,2,1,16,5,1,59,1,1,0,3,0,2,1,-1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,731545.0,1907.343010752688,1.0,61.41638548735641,1.0
